Keyword,Volume,Trend,Growth %,SEO Score,Competition,Avg CPC,Branded,Topics,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026
"add photo to photo",14800,"declining -41%","-41%",60,"0.14","$1.04",No,"Contains: add photo to · Contains: photo to photo · Length: Body (3–4 words) · Seasonality: Evergreen",9900,9900,12100,9900,12100,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100,14800,18100,18100,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,14800,14800,12100,12100,9900,9900
"photo location",14800,"stable 6%","+6%",59,"0.15","$0.07",No,"Length: Head (1–2 words) · Seasonality: Evergreen",14800,12100,12100,12100,12100,14800,12100,14800,14800,14800,14800,18100,18100,14800,14800,12100,12100,12100,12100,14800,14800,14800,14800,14800,14800,12100,12100,12100,12100,14800,12100,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,14800,12100,14800,14800,14800,14800,14800
"my images",49500,"growing 107%","+107%",77,"0.02","$1.12",No,"Length: Head (1–2 words) · Seasonality: Evergreen",27100,49500,49500,18100,40500,27100,14800,12100,18100,18100,12100,9900,12100,9900,9900,8100,8100,9900,9900,9900,8100,8100,8100,8100,8100,9900,8100,8100,8100,9900,8100,9900,9900,14800,14800,22200,27100,33100,40500,33100,33100,49500,49500,60500,60500,74000,74000,60500
"add image to photo",14800,"declining -41%","-41%",60,"0.14","$1.04",No,"Contains: add image to · Length: Body (3–4 words) · Seasonality: Evergreen",9900,9900,12100,9900,12100,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100,14800,18100,18100,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,14800,14800,12100,12100,9900,9900
"adobe lightroom free",5400,"declining -23%","-23%",42,"0.33","$4.92",No,"Length: Body (3–4 words) · Seasonality: Evergreen",2900,2900,2900,2900,2900,2900,2900,4400,8100,9900,8100,8100,8100,9900,9900,8100,8100,8100,8100,8100,8100,8100,8100,6600,6600,6600,6600,6600,6600,6600,6600,6600,8100,8100,6600,6600,6600,6600,6600,5400,5400,5400,5400,5400,5400,5400,5400,4400
"multiple photos in one photo",480,"declining -24%","-24%",31,"0.3","$1.28",No,"Contains: in one photo · Contains: photos in one · Contains: multiple photos in · Length: Long tail (5+ words) · Seasonality: Evergreen",1600,1600,1600,1300,1600,1600,1300,1600,1600,1600,1300,1300,1300,1300,1300,1000,1300,1600,1000,1000,1000,880,1000,1000,1000,880,880,1000,880,880,880,720,720,590,590,590,590,590,590,590,590,480,480,480,390,480,480,390
"google my photos",6600,"stable -7%","-7%",63,"0.01","$0.44",No,"Length: Body (3–4 words) · Seasonality: Peaks in July",6600,8100,6600,6600,6600,6600,6600,6600,5400,6600,12100,27100,18100,12100,9900,9900,9900,9900,8100,8100,8100,8100,6600,8100,8100,6600,6600,6600,6600,9900,8100,8100,8100,6600,8100,8100,6600,8100,6600,5400,5400,5400,5400,6600,5400,6600,6600,6600
"image metadata",8100,"stable -18%","-18%",63,"0.03","$0.16",No,"Length: Head (1–2 words) · Seasonality: Evergreen",8100,6600,8100,8100,22200,18100,9900,9900,9900,9900,8100,9900,9900,9900,9900,8100,8100,9900,8100,9900,9900,9900,9900,9900,9900,9900,9900,8100,8100,9900,8100,9900,9900,8100,12100,12100,9900,9900,9900,9900,8100,8100,8100,9900,8100,8100,8100,8100
"create images",49500,"growing 107%","+107%",63,"0.19","$0.82",No,"Length: Head (1–2 words) · Seasonality: Evergreen",4400,4400,4400,5400,4400,5400,5400,6600,6600,6600,6600,6600,6600,6600,12100,18100,12100,27100,18100,14800,12100,12100,12100,12100,12100,12100,14800,14800,14800,18100,14800,22200,22200,22200,22200,22200,18100,49500,33100,33100,40500,40500,40500,49500,49500,60500,74000,74000
"images adobe",33100,"declining -33%","-33%",58,"0.23","$1.97",No,"Length: Head (1–2 words) · Seasonality: Evergreen",27100,27100,33100,33100,27100,33100,33100,40500,33100,33100,33100,33100,33100,33100,40500,33100,33100,40500,40500,40500,40500,40500,33100,40500,40500,40500,40500,40500,33100,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100,33100,33100,33100,33100,27100,27100,27100
"upload photos to google photos",880,"declining -25%","-25%",48,"0.02","$2.20",No,"Contains: to google photos · Contains: photos to google · Length: Long tail (5+ words) · Seasonality: Evergreen",1300,1000,1000,1000,1000,1000,880,1000,1000,1300,1300,1300,1300,1300,1300,1000,1000,1300,1000,1000,1300,1300,480,390,390,720,720,720,880,1000,880,1000,1000,1000,1000,1000,1000,1000,880,880,880,880,880,880,880,720,720,720
"geotag photos",33100,"growing 24%","+24%",58,"0.23","$0.06",No,"Length: Head (1–2 words) · Seasonality: Evergreen",9900,9900,8100,9900,9900,14800,12100,12100,9900,9900,9900,9900,14800,14800,14800,12100,12100,18100,14800,14800,14800,14800,18100,22200,18100,22200,22200,18100,18100,22200,22200,27100,33100,27100,33100,33100,27100,33100,27100,27100,27100,33100,27100,27100,27100,27100,40500,40500
"add photo",9900,"growing 22%","+22%",65,"0.03","$0.66",No,"Length: Head (1–2 words) · Seasonality: Evergreen",5400,4400,5400,6600,6600,8100,6600,8100,8100,8100,6600,8100,8100,6600,6600,6600,6600,6600,6600,6600,5400,6600,6600,6600,8100,8100,8100,6600,8100,8100,6600,8100,6600,6600,6600,8100,8100,9900,8100,8100,8100,9900,8100,8100,8100,9900,9900,12100
"images online free",1000,"declining -29%","-29%",41,"0.18","$1.32",No,"Length: Body (3–4 words) · Seasonality: Evergreen",1900,1900,1900,1900,1600,1900,1900,2400,2400,2400,2400,2400,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1300,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1300,1300,1300,1300,1300,1300,1000,1300,1000,1300,1000,1000,880,880
"multiple photos in one photo online",260,"declining -82%","-82%",35,"0.14","$0.23",No,"Contains: in one photo · Contains: photos in one · Contains: multiple photos in · Length: Long tail (5+ words) · Seasonality: Evergreen",320,260,880,1300,1000,1600,1000,1000,1600,1000,1600,1900,1600,1000,1300,1000,1300,1600,1300,1000,1300,1000,880,720,880,880,1000,590,590,1300,1300,1000,880,720,720,480,480,590,720,320,260,210,90,260,140,110,70,140
"metadata photo",1600,"stable -17%","-17%",52,"0.03","$0.12",No,"Length: Head (1–2 words) · Seasonality: Evergreen",2400,2400,2400,2400,2900,2900,2400,2900,2900,2400,1900,2400,2400,2400,2400,2400,2400,2400,2400,2900,2900,2400,2400,2400,2400,1900,2400,1900,1900,1900,1600,1900,1600,1600,1600,1900,1600,1900,1900,1600,1600,1600,1300,1600,1600,1600,1300,1600
"photo add",5400,"stable -13%","-13%",57,"0.09","$0.29",No,"Length: Head (1–2 words) · Seasonality: Evergreen",2400,2400,1900,2400,2400,2900,2400,3600,2900,2900,2900,3600,3600,2900,3600,2900,3600,4400,4400,4400,3600,4400,4400,4400,4400,4400,5400,4400,4400,5400,5400,5400,5400,4400,4400,5400,5400,6600,6600,5400,5400,5400,4400,4400,4400,5400,5400,5400
"download my photos",720,"stable -6%","-6%",44,"0.08","$0.82",No,"Length: Body (3–4 words) · Seasonality: Evergreen",590,590,590,590,480,590,480,590,590,590,590,590,590,480,590,590,590,1000,1000,590,590,590,590,590,480,390,480,480,480,480,390,480,590,480,590,590,720,880,880,720,720,880,720,720,720,720,880,720
"google photos upload",3600,"growing 31%","+31%",59,"0.01","$1.54",No,"Length: Body (3–4 words) · Seasonality: Evergreen",5400,5400,5400,5400,5400,6600,5400,5400,5400,5400,5400,5400,5400,5400,5400,4400,4400,5400,4400,4400,4400,4400,4400,4400,4400,3600,3600,3600,4400,4400,4400,4400,3600,3600,3600,3600,3600,3600,2900,2900,2900,3600,2900,3600,3600,4400,4400,4400
"your photos",5400,"stable 0%","0%",60,"0.04","$2.15",No,"Length: Head (1–2 words) · Seasonality: Evergreen",12100,14800,27100,27100,27100,22200,22200,22200,22200,22200,22200,22200,18100,18100,18100,14800,14800,14800,12100,14800,12100,12100,12100,9900,9900,8100,8100,6600,6600,6600,6600,6600,5400,5400,5400,5400,5400,5400,5400,5400,5400,6600,5400,5400,5400,5400,5400,5400
"photo file",8100,"stable 0%","0%",59,"0.09","$0.02",No,"Length: Head (1–2 words) · Seasonality: Evergreen",5400,5400,5400,5400,5400,5400,5400,5400,5400,6600,5400,6600,6600,6600,6600,5400,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100
"photo s",7480000,"stable 14%","+14%",95,"0.05","$1.42",No,"Length: Head (1–2 words) · Seasonality: Evergreen",5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,6120000,6120000,6120000,6120000,6120000,5000000,4090000,4090000,5000000,4090000,5000000,4090000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,6120000,6120000,7480000,6120000,6120000,6120000,7480000,6120000,7480000,6120000,7480000,7480000,7480000
"photo photos",3600,"declining -37%","-37%",55,"0.08","$4.01",No,"Length: Head (1–2 words) · Seasonality: Evergreen",4400,4400,4400,4400,4400,4400,3600,4400,4400,3600,3600,3600,3600,4400,4400,4400,3600,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,3600,3600,4400,3600,3600,4400,4400,3600,3600,4400,5400,4400,3600,3600,4400,4400,3600,3600,3600,2900,2400
"apps like google photos",140,"declining -29%","-29%",29,"0.2","$2.26",No,"Length: Body (3–4 words) · Seasonality: Evergreen",320,260,260,260,260,260,210,260,260,260,320,320,260,210,210,210,260,260,210,260,260,260,260,260,260,210,210,170,210,260,210,210,170,170,210,210,210,170,170,140,140,140,140,140,140,140,140,110
"photo high quality free",6600,"stable 7%","+7%",54,"0.15","$1.26",No,"Length: Body (3–4 words) · Seasonality: Evergreen",5400,5400,6600,6600,5400,6600,6600,6600,6600,6600,5400,5400,6600,6600,6600,6600,6600,8100,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,5400,5400,5400,5400,6600,6600,6600,6600,6600,6600,6600,6600,6600,5400
"my account photos",1900,"growing 49%","+49%",55,"0","N/A",No,"Length: Body (3–4 words) · Seasonality: Evergreen",4400,3600,2900,2900,2900,3600,3600,3600,2400,2900,1900,1600,1300,1000,1000,1000,1000,1000,880,720,720,880,720,720,590,590,720,720,720,720,880,880,880,880,1000,1000,1300,1600,1600,1600,1900,1900,1600,1900,2400,2400,1900,2400
"photo tools",6600,"declining -64%","-64%",59,"0.07","$1.27",No,"Length: Head (1–2 words) · Seasonality: Peaks in October",2400,5400,135000,74000,3600,3600,2900,3600,2900,4400,3600,4400,5400,18100,301000,135000,8100,8100,5400,6600,5400,5400,4400,6600,5400,18100,246000,110000,8100,8100,6600,5400,5400,5400,4400,5400,6600,12100,18100,6600,5400,4400,5400,5400,4400,4400,4400,4400
"exif data",14800,"stable -18%","-18%",69,"0.01","$0.02",No,"Length: Head (1–2 words) · Seasonality: Evergreen",33100,22200,27100,22200,22200,40500,27100,27100,27100,22200,22200,22200,22200,27100,27100,22200,22200,22200,22200,22200,22200,22200,18100,18100,18100,18100,18100,18100,18100,18100,14800,18100,18100,18100,14800,18100,18100,18100,18100,14800,14800,18100,14800,18100,18100,14800,14800,14800
"photo to file",1600,"stable 14%","+14%",34,"0.37","$0.51",No,"Length: Body (3–4 words) · Seasonality: Evergreen",390,390,390,390,320,480,480,480,390,480,590,590,590,590,590,590,590,590,720,720,720,720,720,720,880,880,880,880,880,880,880,1000,880,1300,1300,1000,1300,1600,1300,1600,1300,1300,1300,1300,1300,1600,1600,1600
"upload your photos",880,"stable -14%","-14%",43,"0.12","$1.02",No,"Length: Body (3–4 words) · Seasonality: Peaks in October",480,480,480,480,480,480,390,480,390,480,390,390,480,480,2900,590,480,390,390,480,1600,720,590,480,390,390,390,390,390,480,390,590,480,590,720,590,720,1600,880,720,590,720,720,720,590,1000,880,880
"multiple photos in one photo online free",40,"declining -81%","-81%",24,"0.1","N/A",No,"Contains: in one photo · Contains: photos in one · Contains: photo online free · Contains: multiple photos in · Length: Long tail (5+ words) · Seasonality: Evergreen",140,170,170,170,210,320,210,210,320,390,390,260,260,260,260,170,260,210,140,140,170,140,110,90,110,90,140,110,110,90,70,70,70,70,50,50,50,40,70,50,50,50,30,30,20,10,10,10
"photo making",9900,"stable 19%","+19%",53,"0.21","$1.07",No,"Length: Head (1–2 words) · Seasonality: Evergreen",5400,5400,5400,5400,5400,5400,5400,6600,5400,6600,5400,5400,5400,5400,5400,5400,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,8100,6600,6600,6600,6600,8100,6600,6600,8100,6600,6600,12100,9900,8100,9900,9900,8100,9900,9900,9900,12100,12100
"photos software",720,"stable -13%","-13%",40,"0.16","$0.26",No,"Length: Head (1–2 words) · Seasonality: Evergreen",1000,1000,1000,1000,1000,1300,1000,1000,1000,1000,1000,1300,1000,1300,1000,1000,1300,1300,1000,1300,1000,1000,1000,1000,880,880,880,720,880,880,880,720,720,880,720,720,720,880,880,720,720,720,720,880,720,720,720,720
"photo on photo",1900,"stable 9%","+9%",53,"0.03","$1.12",No,"Length: Body (3–4 words) · Seasonality: Evergreen",1300,1300,1300,1300,1300,1300,1000,1300,1600,1600,1300,1300,1600,1600,1600,1600,1600,1600,1600,1300,1900,1900,1900,1600,1600,1600,1600,1600,1600,1300,1600,1900,1900,1900,1900,1600,1900,1900,1900,1900,1900,1900,1600,1900,1900,1900,1900,2400
"download photos from google photos",2900,"growing 96%","+96%",58,"0","$1.44",No,"Contains: from google photos · Contains: photos from google · Length: Long tail (5+ words) · Seasonality: Evergreen",3600,2900,2900,2900,2900,3600,2900,2900,2900,2900,2900,3600,2900,2900,2900,2900,3600,3600,2900,2900,2900,2900,2900,3600,3600,3600,2900,2900,2900,2900,2400,2400,1900,2400,2400,1900,1900,2400,2400,1900,2400,2900,2900,4400,1900,2900,6600,3600
"any photos",5400,"growing 399%","+399%",62,"0","$1.56",No,"Length: Head (1–2 words) · Seasonality: Peaks in July",1600,1600,1900,1600,1600,1600,1300,1600,1600,1600,1600,1600,1900,1600,1900,1600,1600,1600,1600,1600,1600,1900,1600,1900,1600,1900,1900,1600,1900,1900,1600,1900,1900,1900,1900,2400,1900,2400,2400,2400,2900,2900,3600,4400,5400,5400,9900,18100
"add photo to photo online",3600,"declining -34%","-34%",56,"0.06","$0.29",No,"Contains: add photo to · Contains: photo to photo · Contains: to photo online · Length: Long tail (5+ words) · Seasonality: Evergreen",5400,5400,5400,5400,5400,6600,5400,5400,5400,5400,5400,5400,5400,5400,5400,4400,5400,5400,5400,5400,5400,5400,4400,5400,5400,4400,5400,4400,4400,4400,3600,4400,4400,3600,3600,3600,4400,4400,3600,3600,3600,3600,3600,2900,2400,2900,2900,2400
"one photo",2900,"stable 0%","0%",57,"0.02","$1.96",No,"Length: Head (1–2 words) · Seasonality: Evergreen",2400,1900,2400,1900,1900,2400,1900,2400,1900,2400,1900,2400,2400,2400,2400,2400,2400,2400,2400,1900,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2900,2900,2900,2900,3600,2900,2900,2400,2900,2900,2900,2900,2900
"portfolio photos",5400,"stable -13%","-13%",49,"0.21","$3.30",No,"Length: Head (1–2 words) · Seasonality: Evergreen",6600,6600,6600,6600,6600,8100,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,8100,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,8100,6600,6600,6600,6600,6600,6600,5400,6600,5400,5400,5400,5400,5400,5400,5400,5400,5400,4400
"add gps to photos",70,"growing 35%","+35%",28,"0.1","$0.20",No,"Length: Body (3–4 words) · Seasonality: Evergreen",40,30,40,50,40,50,50,50,50,50,50,50,50,70,70,30,70,70,70,70,90,70,90,90,90,50,70,90,90,50,70,70,50,70,50,70,50,70,50,70,50,50,50,50,50,70,90,70
"using adobe lightroom",170,"declining -22%","-22%",35,"0.06","$3.49",No,"Length: Body (3–4 words) · Seasonality: Evergreen",320,260,210,320,210,260,210,260,260,260,260,260,260,210,260,210,260,260,210,260,210,260,260,260,260,210,260,170,170,210,170,210,170,210,210,210,210,210,210,170,140,170,170,170,140,140,140,210
"lightroom image",1000,"declining -22%","-22%",49,"0.02","$3.36",No,"Length: Head (1–2 words) · Seasonality: Evergreen",2400,2400,2400,2400,2400,2400,2400,2900,2400,2900,2400,2400,2400,2400,2400,1900,2400,2900,2400,1900,1900,1900,1600,1600,1600,1300,1300,1300,1300,1600,1000,1300,1600,1600,1600,1300,1300,1000,880,880,1000,1000,880,1000,1000,880,880,720
"google albums",22200,"stable 0%","0%",72,"0","$1.60",No,"Length: Head (1–2 words) · Seasonality: Evergreen",22200,18100,22200,18100,18100,18100,18100,18100,18100,18100,33100,33100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,22200,18100,18100,18100,18100,18100,18100,22200,22200,22200,22200,22200,22200,22200,22200,22200,18100,22200,22200,22200,22200,22200
"adobe lightroom photography",30,"declining -29%","-29%",9,"0.63","N/A",No,"Length: Body (3–4 words) · Seasonality: Evergreen",10,10,10,10,10,10,10,20,20,20,20,30,30,10,10,30,10,20,20,20,20,20,20,20,10,10,10,20,20,20,20,20,10,10,20,10,10,20,40,30,30,40,20,40,20,20,20,10
"photo format",9900,"stable -6%","-6%",47,"0.29","$1.08",No,"Length: Head (1–2 words) · Seasonality: Evergreen",12100,12100,12100,12100,14800,12100,9900,9900,9900,12100,12100,9900,9900,12100,12100,12100,14800,12100,12100,12100,9900,12100,12100,9900,12100,12100,12100,12100,14800,12100,9900,9900,9900,12100,9900,9900,9900,12100,12100,12100,14800,9900,9900,9900,9900,9900,12100,9900
"private photos",6600,"stable 0%","0%",62,"0.02","$0.69",No,"Length: Head (1–2 words) · Seasonality: Evergreen",8100,8100,8100,6600,6600,8100,8100,8100,8100,6600,6600,6600,8100,6600,6600,6600,5400,8100,6600,8100,6600,8100,6600,6600,6600,5400,6600,6600,6600,6600,5400,6600,6600,6600,6600,6600,5400,6600,6600,6600,6600,6600,5400,6600,5400,6600,6600,5400
"add geotag",70,"growing 79%","+79%",30,"0.03","N/A",No,"Length: Head (1–2 words) · Seasonality: Evergreen",20,20,10,10,10,10,10,10,10,20,10,20,20,20,20,10,30,40,30,40,30,30,30,20,30,20,30,30,10,50,40,70,30,40,30,50,40,50,50,70,70,70,70,90,50,70,90,90
"add your photos",390,"growing 69%","+69%",43,"0","N/A",No,"Length: Body (3–4 words) · Seasonality: Evergreen",90,110,70,70,70,140,170,140,140,210,210,110,140,90,90,110,140,210,170,110,110,210,140,170,140,110,110,90,140,90,70,90,70,170,140,140,210,320,320,320,390,390,320,320,320,480,480,480
"add gps location to photo",590,"growing 87%","+87%",42,"0.09","$0.10",No,"Length: Long tail (5+ words) · Seasonality: Evergreen",170,140,170,170,170,210,210,260,210,210,320,210,320,390,320,320,260,210,170,260,320,260,320,260,320,260,260,320,390,390,390,390,390,390,480,480,390,390,390,480,590,590,590,590,390,590,720,880
"my photo's",368000,"stable 0%","0%",88,"0.05","$0.91",No,"Length: Head (1–2 words) · Seasonality: Evergreen",368000,368000,301000,301000,301000,368000,368000,368000,301000,301000,301000,301000,301000,301000,301000,301000,301000,301000,246000,301000,301000,301000,301000,301000,246000,246000,301000,246000,301000,301000,246000,246000,246000,301000,368000,368000,368000,368000,368000,301000,301000,368000,301000,368000,301000,368000,368000,368000
"photo to add photo",70,"stable -15%","-15%",28,"0.09","$0.26",No,"Length: Body (3–4 words) · Seasonality: Evergreen",20,20,20,20,40,30,30,30,30,20,50,30,50,30,50,40,30,70,30,70,50,70,50,40,50,70,50,70,70,90,70,90,70,90,90,70,110,70,90,70,70,90,70,70,70,70,70,90
"add to photos",9900,"growing 22%","+22%",65,"0.03","$0.66",No,"Length: Body (3–4 words) · Seasonality: Evergreen",5400,4400,5400,6600,6600,8100,6600,8100,8100,8100,6600,8100,8100,6600,6600,6600,6600,6600,6600,6600,5400,6600,6600,6600,8100,8100,8100,6600,8100,8100,6600,8100,6600,6600,6600,8100,8100,9900,8100,8100,8100,9900,8100,8100,8100,9900,9900,12100
"android photos",2900,"growing 24%","+24%",57,"0.01","$0.75",No,"Length: Head (1–2 words) · Seasonality: Evergreen",2400,2400,2900,2900,2900,2900,2400,2900,2400,2900,2900,2900,2900,2900,2900,2400,2900,2900,2400,2900,2900,2900,2900,2900,2900,2900,2900,2400,2900,2400,2400,2400,2400,2900,2900,2400,2900,2900,2900,2900,2900,2900,2900,2900,2900,3600,3600,3600
"images add",9900,"growing 38%","+38%",65,"0.02","$0.83",No,"Length: Head (1–2 words) · Seasonality: Evergreen",5400,5400,5400,6600,5400,5400,5400,6600,5400,5400,5400,5400,6600,5400,6600,5400,5400,6600,6600,6600,5400,6600,5400,5400,5400,5400,6600,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,8100,8100,9900,9900,9900,8100,9900,8100,9900,9900,9900
"add gps data to photos",30,"stable 0%","0%",24,"0.03","N/A",No,"Length: Long tail (5+ words) · Seasonality: Evergreen",40,40,40,40,30,70,40,30,50,40,50,70,70,50,50,40,30,50,50,40,40,40,40,50,50,50,40,40,50,50,50,40,40,50,30,40,30,20,20,20,30,20,20,30,40,10,20,40
"photo add in photo",480,"stable -18%","-18%",42,"0.07","$0.31",No,"Contains: add in photo · Length: Body (3–4 words) · Seasonality: Evergreen",70,70,90,70,90,90,90,110,90,90,140,110,170,140,110,170,210,260,480,590,480,590,590,590,480,390,590,480,590,590,390,480,590,590,720,880,880,720,320,480,720,480,480,260,390,390,590,590
"photo add on photo",480,"declining -39%","-39%",42,"0.06","$0.23",No,"Length: Body (3–4 words) · Seasonality: Evergreen",70,70,70,90,70,90,50,90,70,90,70,90,90,90,70,90,90,110,110,110,110,110,110,170,170,210,320,390,720,880,880,1000,880,720,480,480,480,720,590,590,390,590,480,480,390,390,320,390
"photo add to photo",140,"stable -7%","-7%",33,"0.08","$0.28",No,"Length: Body (3–4 words) · Seasonality: Evergreen",110,90,70,110,140,90,110,90,90,90,90,140,90,70,110,90,70,90,90,110,170,90,90,110,140,110,140,110,140,140,110,140,140,170,170,170,170,140,140,170,170,140,140,140,170,140,140,140
